"","Temp.mean","SpCond.mean","DO_mgl.mean","Depth.mean","pH.mean","Turb.mean","q_cfs.mean.5","sin_doy","nh4","no3","po4","chla"
"Temp.mean",0,0.385871791266269,5.51033963237387e-08,0.0615157261553867,0.0129613088921017,0.169445051429619,0.962680842529179,0.0456969006321402,0.989286959823263,0.0109339977496221,0.0152727221149948,0.048935806917813
"SpCond.mean",0.385871791266269,0,0.550223974736814,0.667446604408845,0.207886498885408,0.369915341537026,0.0463865045562288,0.079333743543862,0.934644236046146,0.00298928944195645,0.205467980369202,0.555337183932512
"DO_mgl.mean",5.51033963237387e-08,0.550223974736814,0,0.0372515518076306,0.00202132211356471,0.155273467987496,0.788763813107889,0.0299737750443475,0.700230696904111,0.0406072819879018,0.00914931331694604,0.145801769458128
"Depth.mean",0.0615157261553867,0.667446604408845,0.0372515518076306,0,0.133653485356261,0.585318340786029,0.707153921143029,0.166590806107377,0.657627774386251,0.195172442031322,0.0548647014411144,0.319631685318223
"pH.mean",0.0129613088921017,0.207886498885408,0.00202132211356471,0.133653485356261,0,0.057133404687708,0.278491556665681,0.36792480845256,0.446200171451088,0.966306923855181,0.113305460003033,0.65757268363222
"Turb.mean",0.169445051429619,0.369915341537026,0.155273467987496,0.585318340786029,0.057133404687708,0,0.760699140917396,0.484529013702497,0.853033153244598,0.704160045472425,0.661241781308288,0.353077495384651
"q_cfs.mean.5",0.962680842529179,0.0463865045562288,0.788763813107889,0.707153921143029,0.278491556665681,0.760699140917396,0,0.921979753085794,0.575669999107813,0.313852123189103,0.448626368812767,0.88155520309252
"sin_doy",0.0456969006321402,0.079333743543862,0.0299737750443475,0.166590806107377,0.36792480845256,0.484529013702497,0.921979753085794,0,0.966392800800839,0.0420522879736181,0.0255874320359632,0.65155765554851
"nh4",0.989286959823263,0.934644236046146,0.700230696904111,0.657627774386251,0.446200171451088,0.853033153244598,0.575669999107813,0.966392800800839,0,0.577371134682292,0.246888561418228,0.109670529532112
"no3",0.0109339977496221,0.00298928944195645,0.0406072819879018,0.195172442031322,0.966306923855181,0.704160045472425,0.313852123189103,0.0420522879736181,0.577371134682292,0,0.103599129527384,0.0256792482465949
"po4",0.0152727221149948,0.205467980369202,0.00914931331694604,0.0548647014411144,0.113305460003033,0.661241781308288,0.448626368812767,0.0255874320359632,0.246888561418228,0.103599129527384,0,0.683151993167487
"chla",0.048935806917813,0.555337183932512,0.145801769458128,0.319631685318223,0.65757268363222,0.353077495384651,0.88155520309252,0.65155765554851,0.109670529532112,0.0256792482465949,0.683151993167487,0
